timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
1274,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,318.5
1274,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,318.5
1275,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,318.75
1275,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,318.75
1275,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,318.75
1275,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,318.75
1276,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,319.0
1276,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,319.0
1276,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,319.0
1276,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,319.0
1277,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,319.25
1277,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,319.25
1277,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,319.25
1277,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,319.25
1278,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,319.5
1278,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,319.5
1278,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,319.5
1278,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,319.5
1279,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,319.75
1279,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,319.75
1279,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,319.75
